"source_genesymbol","target_genesymbol","interact"
"MAPK8","BCLAF1",0
"MAPK8","BLM",0
"MAPK8","BPTF",0
"MAPK8","BSN",0
"MAPK8","BUB3",0
"MAPK8","IRF2BPL",0
"MAPK8","TMEM245",0
"MAPK8","CACNB4",0
"MAPK8","CALD1",0
"MAPK8","CASKIN1",0
"MAPK8","CAST",0
"MAPK8","CCNT2",0
"MAPK8","CDC23",0
"MAPK8","CDC27",0
"MAPK8","CDK13",0
"MAPK8","CEBPB",0
"MAPK8","CEBPE",0
"MAPK8","CHEK2",0
"MAPK8","CHRM2",0
"MAPK8","CIC",0
"MAPK8","CLASP1",0
"MAPK8","CNOT4",0
"MAPK8","COIL",0
"MAPK8","CTNNA2",0
"MAPK8","CTNND2",0
"MAPK8","CUL3",0
"MAPK8","DAB1",0
"MAPK8","DCLK1",0
"MAPK8","DCX",0
"MAPK8","DEAF1",0
"MAPK8","DES",0
"MAPK8","DLGAP2",0
"MAPK8","DNM1",0
"MAPK8","DPYSL2",0
"MAPK8","DYNC1LI2",0
"EEF2K","MAPK8",0
"MAPK8","EEF2K",0
"MAPK8","EEF2",0
"MAPK8","EIF4G1",0
"MAPK8","ELF2",0
"MAPK8","EPS8L2",0
"MAPK8","ERBIN",0
"MAPK8","ESR1",1
"MAPK8","ESRRA",0
"MAPK8","FAS",0
"MAPK8","CEP43",0
"MAPK8","FLII",0
"MAPK8","FUBP1",0
"MAPK8","FUT11",0
"MAPK8","FZR1",0
"MAPK8","GJA1",0
"MAPK8","GOLGA2",0
"MAPK8","GYS1",0
"MAPK8","HDAC6",0
"MAPK8","HDGF",0
"MAPK8","HNRNPF",0
"MAPK8","HNRNPH2",0
"MAPK8","IKBKG",0
"MAPK8","ISL2",0
"MAPK8","KCNMA1",0
"MAPK8","KDM5C",0
"MAPK8","KLF16",0
"MAPK8","LEF1",0
"MAPK8","LIMD1",0
"MAPK8","LMNA",0
"MAPK8","LRRFIP1",0
"MAPK8","MAD1L1",0
"MAPK8","MAP1B",0
"MAPK8","MAP1S",0
"MAPK8","MAP3K11",1
"MAPK8","MAP4K4",0
"MAPK8","MAP4",0
"MAPK8","MAPKAPK2",0
"MAPK8","MAPKAPK5",0
"MAPKAPK5","MAPK8",1
"MAPK8","MATK",0
"MAPK8","MEF2A",0
"MAPK8","MEF2D",0
"MAPK8","MKNK2",0
"MAPK8","NASP",0
"MAPK8","NCOA3",0
"MAPK8","NDEL1",0
"MAPK8","NEFM",0
"MAPK8","NF1",0
"MAPK8","NFIA",0
"MAPK8","NFIB",0
"MAPK8","NFIC",0
"MAPK8","NMT1",0
"MAPK8","NPM1",1
"MAPK8","NSUN5",0
"MAPK8","PAK6",0
"MAPK8","PAK5",0
"MAPK8","PCDH1",0
"MAPK8","CDK16",0
"MAPK8","PHC3",0
"MAPK8","PLA2G4A",0
"MAPK8","PLEC",0
"MAPK8","POGZ",0
"MAPK8","PPP1R1B",0
"MAPK8","PRDM2",0
"MAPK8","PRICKLE3",0
"MAPK8","PSMD4",0
"MAPK8","PTTG1",0
"MAPK8","RAD18",0
"MAPK8","RAP1GAP",0
"MAPK8","RBM15",0
"MAPK8","RBMX",0
"MAPK8","REST",0
"MAPK8","RNMT",0
"MAPK8","RPS6KA3",0
"MAPK8","RREB1",0
"MAPK8","RTN4",0
"MAPK8","S100A11",0
"MAPK8","SCML2",0
"MAPK8","SEPTIN5",0
"MAPK8","SF3B1",1
"MAPK8","SUGP2",0
"MAPK8","SLC41A3",0
"MAPK8","SMAD2",0
"MAPK8","SMAD4",1
"MAPK8","SMARCC2",0
"MAPK8","SNN",0
"MAPK8","SNRNP70",1
"MAPK8","SOX11",0
"MAPK8","SPAST",0
"MAPK8","SRC",1
"MAPK8","SRRM2",0
"MAPK8","SRRT",0
"MAPK8","SSBP4",0
"MAPK8","STAT5B",0
"MAPK8","SYMPK",0
"MAPK8","SYN1",0
"MAPK8","TAF3",0
"MAPK8","TLK2",0
"MAPK8","TNFRSF1B",0
"MAPK8","TOPORS",0
"MAPK8","TP53BP1",0
"MAPK8","TPD52L2",0
"MAPK8","UBR1",0
"MAPK8","ZC3HAV1",0
"MAPK8","ZEB1",0
"MAPK8","ZMYM2",0
"MAPK8","ZNF516",0
"MAPK9","ABLIM1",0
"MAPK9","ADAM17",0
"MAPK9","ADCY9",0
"MAPK9","ADD1",0
"MAPK9","ADD2",0
"MAPK9","AMPH",0
"MAPK9","ARHGAP12",0
"MAPK9","ARHGEF6",0
"MAPK9","ARID1A",0
"MAPK9","BCL2",0
"MAPK9","BICD2",0
"MAPK9","CACNG2",0
"MAPK9","CAMK2D",0
"MAPK9","CCND1",0
"MAPK9","CDC16",0
"MAPK9","CDC20",0
"MAPK9","CDK11A",0
"MAPK9","CDK13",0
"MAPK9","CLMN",0
"MAPK9","CRMP1",0
"MAPK9","CTTN",0
"MAPK9","CXADR",0
"MAPK9","DDX23",0
"EEF2K","MAPK9",0
"MAPK9","EEF2K",0
"MAPK9","EIF3G",0
"MAPK9","EPS15L1",0
"MAPK9","ETS2",0
"MAPK9","FADD",0
"MAPK9","FOSL2",0
"MAPK9","FOS",0
"MAPK9","GFPT1",0
"MAPK9","GJA1",0
"MAPK9","GYS1",0
"MAPK9","HCLS1",0
"MAPK9","HMGA1",0
"MAPK9","HSF1",0
"MAPK9","ID3",0
"MAPK9","IFI16",0
"MAPK9","ITSN1",0
"MAPK9","KAT5",0
"MAPK9","KCTD15",0
"MAPK9","KIF22",0
"MAPK9","LCK",0
"MAPK9","LMNB1",0
"MAPK9","MAP2K2",0
"MAPK9","MAP4K4",0
"MAPK9","MAP4",0
"MAPK9","MAPK10",0
"MAPK9","MAPKAPK2",0
"MAPK9","MARK1",0
"MAPK9","MARK2",0
"MAPK9","MCM2",0
"MAPK9","NDEL1",0
"MAPK9","NES",0
"MAPK9","NEUROD1",0
"MAPK9","NFIC",0
"MAPK9","NR3C1",1
"MAPK9","PAK1IP1",0
"MAPK9","PAK5",0
"MAPK9","PCYT1B",0
"MAPK9","JADE3",0
"MAPK9","PLEC",0
"MAPK9","PPP1R1B",0
"MAPK9","PSMA5",0
"MAPK9","PTPN7",0
"MAPK9","PURB",0
"MAPK9","PWP1",0
"MAPK9","RAPGEF6",0
"MAPK9","RAPH1",0
"MAPK9","RBM14",0
"MAPK9","RFX1",0
"MAPK9","RPS3",0
"MAPK9","RPS6KB1",0
"MAPK9","SEC24B",0
"MAPK9","PNISR",0
"MAPK9","SLBP",0
"MAPK9","SLC9A1",0
"MAPK9","SPTBN1",0
"MAPK9","SRRM2",0
"MAPK9","SYN1",0
"MAPK9","SYN3",0
"MAPK9","SYNPO",0
"MAPK9","TCF20",0
"MAPK9","TFAP4",0
"MAPK9","TMPO",0
"MAPK9","TMPO",0
"MAPK9","TNKS1BP1",0
"MAPK9","USP24",0
"MAPK9","USP6NL",0
"MAPK9","XRN2",0
"MAPK9","ZNF217",0
"MAPK9","ZYX",0
"MAPKAPK2","ADRB2",0
"MAPKAPK2","CAD",0
"MAPKAPK2","CRYAB",0
"MAPKAPK2","DDIT3",0
"MAPKAPK2","DDIT3",0
"MAPKAPK2","ESR1",0
"MAPKAPK2","FAS",0
"MAPKAPK2","MYLK",0
"MAPKAPK2","NCOA1",0
"MAPKAPK2","STAT3",0
"MARK3","STK10",0
"SRC","MATK",0
"MATK","SRC",0
"MOS","ADRB2",0
"RPS6KA5","WNK1",0
"MYT1L","CDK1",0
"NEK1","NDC80",0
"NME1","CNKSR1",0
"NTRK2","PLCG1",1
"NTRK2","TIAM1",0
"OSR1","ADRB2",0
"OSR1","PAK1",0
"PAK1","ADRB2",0
"PAK1","PPP1R12A",0
"PAK1","PPP1R14A",0
"PAK1","STAT5A",0
"PAK3","CTTN",1
"PAK3","STK4",0
"PBK","MAPK14",0
"CDK16","NSF",1
"PDGFRA","PTPN11",0
"PDGFRA","RASA1",1
"PDGFRA","SHC1",1
"PDGFRB","CBL",0
"PDGFRB","IRS2",0
"PDGFRB","LAT",0
"PDGFRB","PIK3R1",1
"PDGFRB","SLK",0
"PDK1","ADRB2",0
"AKT2","PDK1",0
"PDK1","AKT2",1
"PDK1","AKT3",1
"PDK1","MAP2K1",0
"PDK1","MAP2K2",0
"PDK1","MAP3K5",0
"PDK1","MAP4K1",0
"PDK1","PDPK1",0
"PDK1","PKN1",0
"PDK1","PRKACA",1
"PDK1","PRKCA",1
"PDK1","PRKCD",0
"PDK1","PRKCE",0
"PDK1","PRKCH",0
"PDK1","PRKCH",0
"PDK1","PRKCZ",1
"PDK1","RPS6KA1",1
"PDK1","RPS6KA3",0
"PDK1","SBK3",0
"PDK1","SGK2",0
"PDK1","SGK3",1
"PDK1","TSSK3",1
"SGK1","PDK2",0
"PDK2","SGK1",0
"PDPK1","RIN1",0
"PEG3","CDC25B",0
"PHKG1","PYGB",1
"PHKG2","MAPT",0
"PHKG2","PHKG1",0
"PHKG1","PHKG2",0
"PHKG2","PYGB",1
"PIK3CB","PIK3C2B",0
"PIK3CG","PIK3C2G",0
"PIM1","STK10",0
"PKD1","PI4KB",0
"PKD1","PPP1R14A",0
"PKD1","PRKD1",0
"PKD1","RIN1",0
"PKD2","PI4KB",0
"PKM","MARCKSL1",0
"PKN1","ZBTB49",0
"AKT1","PKN2",0
"PKN2","AKT1",0
"PLK1","ANAPC4",1
"PLK1","ANAPC7",1
"PLK1","CDS1",0
"PLK1","MYT1",-1
"PLK2","WEE1",0
"PPM1D","CDS1",0
"PPM1D","RPS6KA1",0
"PPP1CA","CRYAB",0
"PPP1CA","MST1R",0
"PPP1CA","PIP5K1B",0
"PPP1CA","PPP1R16B",0
"PPP1CA","PPP1R1A",0
"PPP2CA","MAP3K1",0
"PPP2CA","PDK1",0
"PPP2CA","PDPK1",0
"PPP2CA","PPP1R14A",0
"PPP2CA","PRKAA2",0
"PPP2CA","PTPRC",0
"PPP2CB","MARK2",0
"PPP2CB","MET",0
"PPP3CA","MAP3K5",0
"PPP5C","MAPK8",0
"PPM1A","CDS1",0
"PPM1A","CHEK2",0
"PRKAA1","CASP6",0
"PRKAA1","MTOR",-1
"PRKAA1","PHKA1",0
"PRKAA2","PRKAA1",0
"PRKAA1","PRKAA2",0
"PRKAA2","CASP6",0
"PRKAA2","LIPE",0
"PRKAA2","NOS3",0
"PRKAA2","PHKA1",0
"PRKAA2","RAF1",0
"PRKACA","MYLK",0
"PRKACG","MYLK",0
"PKIA","MYLK",0
"PKIB","MYLK",0
"PRKCA","MYLK",0
"PRKACB","MYLK",0
"PRKACA","ABCB1",0
"PRKACA","ABCC8",-1
"PRKACA","ADD3",0
"PRKACA","AHNAK",0
"PRKACA","ATF2",1
"PRKACA","PPP1R17",0
"PRKACA","CSF2RB",1
"PRKACA","DCX",0
"PRKACA","EIF2S2",0
"PRKACA","EN2",0
"PRKACA","EVL",0
"PRKACA","FAS",0
"PRKACA","MTOR",1
"PRKACA","GNMT",0
"PRKACA","GRK1",0
"PRKACA","GRK7",0
"PRKACA","HMGN2",0
"PRKACA","KCNJ11",0
"PRKACA","KCNMA1",1
"PRKACA","MEF2C",0
"PRKACA","MOS",0
"PRKACA","NFATC4",1
"PRKACA","PHKG1",0
"PRKACA","PIP5K1B",0
"PRKACA","PLCL1",0
"PRKACA","PPP1R12A",0
"PRKACA","PPP1R14A",0
"PRKACA","PPP1R3A",0
"PRKACA","SRY",0
"PRKACA","STK3",0
"PRKACA","TEAD1",0
"PRKACA","YWHAH",1
"PRKACB","ABCF1",0
"PRKACB","ASIC1",0
"PRKACB","ADRB2",0
"PRKACB","AHNAK",0
"PRKACB","ALOX5",0
"PRKACB","ANAPC1",0
"PRKACB","ANKS1A",0
"PRKACB","AURKC",0
"PRKACB","BCKDK",0
"PRKACB","C5AR1",0
"PRKACB","CACNA1C",0
"PRKACB","CALD1",0
"PRKACB","CAMK2G",0
"PRKACB","CAMKK1",0
"PRKACB","CAV3",0
"PRKACB","CBX3",0
"PRKACB","CDC25A",0
"PRKACB","CDC42EP1",0
"PRKACB","CGB5",0
"PRKACB","CIITA",0
"PRKACB","CLTC",0
"PRKACB","CRIP2",0
"PRKACB","CST4",0
"PRKACB","CTNNA1",0
"PRKACB","CTNNA2",0
"PRKACB","CTR9",0
"PRKACB","CUL5",0
"PRKACB","DCLK1",0
"PRKACB","DES",0
"PRKACB","DHX8",0
"PRKACB","DLGAP2",0
"PRKACB","EGR1",0
"PRKACB","AGO4",0
"PRKACB","DMTN",0
"PRKACB","FBP1",0
"PRKACB","FGA",0
"PRKACB","FLNA",0
"PRKACB","GOLGA4",0
"PRKACB","GRIA4",0
"PRKACB","GRIN2B",0
"PRKACB","GTF2F1",0
"PRKACB","GTF2I",0
"PRKACB","HNRNPK",0
"PRKACB","HTR2C",0
"PRKACB","CXCR2",0
"PRKACB","TRAPPC8",0
"PRKACB","KIT",0
"PRKACB","KRT19",0
"PRKACB","LATS2",0
"PRKACB","LCP1",0
"PRKACB","LIPE",1
"PRKACB","LMNB1",0
"PRKACB","LYZ",0
"PRKACB","MAPT",0
"PRKACB","MBD3",0
"PRKACB","MIP",0
"PRKACB","MITF",0
"PRKACB","MKNK1",0
"PRKACB","AFDN",0
"PRKACB","NDC80",0
"PRKACB","NEFL",0
"PRKACB","NEU1",0
"PRKACB","NME2",0
"PRKACB","NPR1",0
"PRKACB","PCLO",0
"PRKACB","PER2",0
"PRKACB","PHKG1",0
"PRKACB","PLA2G4A",0
"PRKACB","POU2F1",0
"PRKACB","PPIG",0
"PRKACB","PPP1R8",0
"PRKACB","PRKAB1",0
"PRKACB","PRKCE",0
"PRKACB","PRPF4B",0
"PRKACB","PTH2R",0
"PRKACB","PYGB",0
"PRKACB","PYGL",0
"PRKACB","PYGM",0
"PRKACB","QDPR",0
"PRKACB","RAF1",0
"PRKACB","RAP1A",1
"PRKACB","RBL2",0
"PRKACB","RGS14",0
"PRKACB","RPS6KA1",0
"PRKACB","SCN4A",0
"PRKACB","SMAD2",0
"PRKACB","SMAD3",0
"PRKACB","SNRNP200",0
"PRKACB","SPAG9",0
"PRKACB","SPTBN1",0
"PRKACB","SRC",0
"PRKACB","SRRM1",0
"PRKACB","STAMBP",0
"PRKACB","STMN1",1
"PRKACB","TBC1D5",0
"PRKACB","THRAP3",0
"PRKACB","TH",0
"PRKACB","TIAM1",0
"PRKACB","TNNI3",0
"PRKACB","TP53",0
"PRKACB","TRIM3",0
"PRKACB","USP32",0
"PRKACB","VIM",0
"PRKACB","WDR33",0
"PRKACB","XK",0
"PRKACB","XRCC4",0
"PRKACB","XRCC6",0
"PRKACB","ZFP36",0
"PRKACB","ZNF224",0
"PRKAR2B","PRKAR2A",0
"PRKCA","AANAT",0
"PRKCA","ABLIM1",0
"PRKCA","ACACA",0
"PRKCA","ASIC3",0
"PRKCA","ADRA2A",0
"PRKCA","ADRB2",0
"PRKCA","AGAP2",0
"PRKCA","ANLN",0
"PRKCA","ARHGEF17",0
"PRKCA","ATF2",1
"PRKCA","ATP2B2",0
"PRKCA","AURKA",0
"PRKCA","BAD",0
"PRKCA","BATF",0
"PRKCA","BCL2L11",0
"PRKCA","BCL7C",0
"PRKCA","BCR",0
"PRKCA","BIRC5",0
"PRKCA","BRCA1",0
"PRKCA","BTK",0
"PRKCA","CALY",0
"PRKCA","CAMK2A",0
"PRKCA","CAMK2G",0
"PRKCA","CASKIN1",0
"PRKCA","CCNK",0
"PRKCA","CDC25B",0
"PRKCA","CDKN1B",0
"PRKCA","CGN",0
"PRKCA","CHEK2",0
"PRKCA","CHRND",0
"PRKCA","COIL",0
"PRKCA","CRYBA4",0
"PRKCA","CRYBB2",0
"PRKCA","CYTH1",0
"PRKCA","DAB2",0
"PRKCA","DAPK1",0
"PRKCA","DBN1",0
"PRKCA","DLG4",0
"PRKCA","DNM2",0
"PRKCA","E2F1",0
"PRKCA","EBAG9",0
"PRKCA","EEF2",0
"PRKCA","EIF2S2",0
"PRKCA","EIF4B",1
"PRKCA","ERBIN",0
"PRKCA","ERBB2",-1
"PRKCA","ESR1",0
"PRKCA","FAM8A1",0
"PRKCA","FBP1",0
"PRKCA","FOS",1
"PRKCA","FOXO1",0
"PRKCA","FOXO4",0
"PRKCA","FXYD1",0
"PRKCA","GABRB1",0
"PRKCA","GABRG2",0
"PRKCA","GIT2",0
"PRKCA","GNA15",0
"PRKCA","GNG12",0
"PRKCA","GUCY2C",0
"PRKCA","H2AX",0
"PRKCA","HDAC7",0
"PRKCA","H1-1",0
"PRKCA","HNRNPH1",0
"PRKCA","HOXB7",0
"PRKCA","ICAM3",0
"PRKCA","ICAM5",0
"PRKCA","IKBKB",1
"PRKCA","IL1R1",0
"PRKCA","KCNJ11",0
"PRKCA","KIF2C",0
"PRKCA","KIF3A",0
"PRKCA","KRT8",0
"PRKCA","LENG8",0
"PRKCA","LMO7",0
"PRKCA","MAP3K3",0
"PRKCA","MAP4K1",0
"PRKCA","MAPK9",0
"PRKCA","MAPT",0
"PRKCA","MC4R",0
"PRKCA","MEF2C",0
"PRKCA","MKNK1",0
"PRKCA","MYBBP1A",0
"PRKCA","MYO1E",0
"PRKCA","KAT6B",0
"PRKCA","NCL",0
"PRKCA","NDUFS4",0
"PRKCA","NFATC2",0
"PRKCA","NOTCH2",0
"PRKCA","NPM1",0
"PRKCA","OPRM1",0
"PRKCA","PALM",0
"PRKCA","PASK",0
"PRKCA","PDHA1",0
"PRKCA","PFKL",0
"PRKCA","PHF3",0
"PRKCA","PITPNB",0
"PRKCA","PKD1",0
"PRKCA","PKD2",0
"PRKCA","PLXNA2",0
"PRKCA","POLB",0
"PRKCA","POU2AF1",0
"PRKCA","PPP1R12A",0
"PRKCA","PPP1R1A",1
"PRKCA","PRKAA2",0
"PRKCA","PRKCD",0
"PRKCA","PRKD2",0
"PRKCA","PRPF4B",0
"PRKCA","PTPRB",0
"PRKCA","RAB4A",1
"PRKCA","RANBP2",0
"PRKCA","RBL1",0
"PRKCA","RBL2",0
"PRKCA","RBM15",0
"PRKCA","RDX",0
"PRKCA","REV3L",0
"PRKCA","RGS2",0
"PRKCA","RPA2",0
"PRKCA","RPS6KA1",0
"PRKCA","RPS6",0
"PRKCA","RUFY1",0
"PRKCA","S1PR1",1
"PRKCA","PPP6R3",0
"PRKCA","SCN2A",0
"PRKCA","SEMA5A",0
"PRKCA","SEPTIN3",0
"PRKCA","CLASRP",0
"PRKCA","SRSF5",0
"PRKCA","SRSF7",0
"PRKCA","SFSWAP",0
"PRKCA","SGK1",0
"PRKCA","SLC2A2",0
"PRKCA","SLC39A8",0
"PRKCA","SLC4A4",0
"PRKCA","SMAD3",0
"PRKCA","SMARCA5",0
"PRKCA","SMC1A",0
"PRKCA","SPP1",0
"PRKCA","SSTR3",0
"PRKCA","STARD3NL",0
"PRKCA","STAR",0
"PRKCA","STK11",0
"PRKCA","STOM",0
"PRKCA","SYP",0
"PRKCA","TBC1D5",0
"PRKCA","TCEAL1",0
"PRKCA","TNNI2",0
"PRKCA","TNNT2",0
"PRKCA","TNNT3",0
"PRKCA","TP53BP1",0
"PRKCA","TPX2",0
"PRKCA","TSC2",0
"PRKCA","UBA1",0
"PRKCA","XRCC5",0
"PRKCA","YWHAB",1
"PRKCA","YWHAH",1
"PRKCA","ZMYND8",0
"PRKCB","AAK1",0
"PRKCB","ABCA1",0
"PRKCB","ACTN1",0
"PRKCB","ADD1",0
"PRKCB","ADD2",0
"PRKCB","ADD3",0
"PRKCB","AHNAK",0
"PRKCB","ALG2",0
"PRKCB","ANAPC1",0
"PRKCB","ANK2",0
"PRKCB","AP2A1",0
"PRKCB","APC",0
"PRKCB","AQP2",0
"PRKCB","ATXN7",0
"PRKCB","BCKDHA",0
"PRKCB","BCLAF1",0
"PRKCB","BDKRB2",0
"PRKCB","BRAF",1
"PRKCB","BSN",0
"PRKCB","EMSY",0
"PRKCB","CACNB2",0
"PRKCB","CAMK2A",0
"PRKCB","CAMK2D",0
"PRKCB","CASP6",0
"PRKCB","CD3G",0
"PRKCB","CDC27",0
"PRKCB","CDK13",0
"PRKCB","CDH17",0
"PRKCB","CDKN2B",0
"PRKCB","CEBPB",0
"PRKCB","CFTR",0
"PRKCB","CHRM2",0
"PRKCB","CLSPN",0
"PRKCB","CNN1",0
"PRKCB","CREB1",0
"PRKCB","CRYAA",0
"PRKCB","CRYBA1",0
"PRKCB","CRYBA2",0
"PRKCB","CTNNB1",0
"PRKCB","CTNND1",0
"PRKCB","CTNND2",0
"PRKCB","CYP2C18",0
"PRKCB","DCX",0
"PRKCB","DES",0
"PRKCB","DLGAP1",0
"PRKCB","DLGAP2",0
"PRKCB","DLGAP4",0
"PRKCB","DNAJC13",0
"PRKCB","DRD1",0
"PRKCB","EDAR",0
"PRKCB","EEF2K",0
"PRKCB","EGFR",-1
"PRKCB","EIF2AK2",0
"PRKCB","EMB",0
"PRKCB","EPB41L3",0
"PRKCB","EPS15L1",0
"PRKCB","ERBB2",-1
"PRKCB","F2R",0
"PRKCB","FGA",0
"PRKCB","FLNA",0
"PRKCB","FLNB",0
"PRKCB","FNBP1",0
"PRKCB","GABRB2",0
"PRKCB","GABRG2",0
"PRKCB","GFAP",0
"PRKCB","GFPT1",0
"PRKCB","GJB1",0
"PRKCB","GPHN",0
"PRKCB","GRAP2",0
"PRKCB","GRIA2",0
"PRKCB","GRIN1",0
"PRKCB","GRK1",0
"PRKCB","GRK5",0
"PRKCB","GRK6",0
"PRKCB","ARHGAP35",0
"PRKCB","GSK3B",0
"PRKCB","GYS1",0
"PRKCB","H1-3",0
"PRKCB","H2BC14",0
"PRKCB","HMGA1",0
"PRKCB","HMGB2",0
"PRKCB","HNRNPUL1",0
"PRKCB","HSP90AB1",0
"PRKCB","HSPB1",0
"PRKCB","IFI16",0
"PRKCB","IL2RA",0
"PRKCB","INCENP",0
"PRKCB","IRF3",0
"PRKCB","ITGA2B",0
"PRKCB","ITPKA",0
"PRKCB","KCNMA1",0
"PRKCB","KCTD12",0
"PRKCB","KIF22",0
"PRKCB","KIR3DS1",0
"PRKCB","KLF16",0
"PRKCB","LBR",0
"PRKCB","LDHA",0
"PRKCB","LGALS3",0
"PRKCB","LIMK1",0
"PRKCB","LIMK2",0
"PRKCB","LMNA",0
"PRKCB","LTA4H",0
"PRKCB","MAD2L1",0
"PRKCB","MAP1B",0
"PRKCB","MAP2K5",0
"PRKCB","MAP3K8",0
"PRKCB","MAP4",0
"PRKCB","MAPK9",0
"PRKCB","MPZ",0
"PRKCB","MS4A1",0
"PRKCB","MSN",0
"PRKCB","MYO3A",0
"PRKCB","NCOA6",0
"PRKCB","NFATC3",0
"PRKCB","NFKB2",0
"PRKCB","NOLC1",0
"PRKCB","NPR1",0
"PRKCB","NPR2",0
"PRKCB","NR4A1",0
"PRKCB","OTUD7B",0
"PRKCB","P2RY4",0
"PRKCB","PAK2",0
"PRKCB","PAPOLB",0
"PRKCB","PCYT1A",0
"PRKCB","PCYT1B",0
"PRKCB","PDE3B",0
"PRKCB","PDE4B",0
"PRKCB","PEA15",0
"PRKCB","PFKFB2",0
"PRKCB","PHKA1",0
"PRKCB","PIGR",0
"PRKCB","PKP4",0
"PRKCB","PLEC",0
"PRKCB","PPP1CC",0
"PRKCB","PPP1R14A",1
"PRKCB","PPP1R14B",0
"PRKCB","PPP1R1B",0
"PRKCB","PPP1R9B",0
"PRKCB","PRKCA",0
"PRKCB","PRKDC",0
"PRKCB","PSMA3",0
"PRKCB","PTGER4",0
"PRKCB","PTH2R",0
"PRKCB","PTHLH",0
"PRKCB","PTPN12",0
"PRKCB","RANGAP1",0
"PRKCB","RBL2",0
"PRKCB","RGS10",0
"PRKCB","RHO",0
"PRKCB","RIPK1",0
"PRKCB","RPL10",0
"PRKCB","SAFB",0
"PRKCB","SASH3",0
"PRKCB","SCN2A",0
"PRKCB","SCN4A",0
"PRKCB","SF3B2",0
"PRKCB","SNRNP70",0
"PRKCB","SP4",0
"PRKCB","SPAG9",0
"PRKCB","SPTAN1",0
"PRKCB","SPTBN1",0
"PRKCB","SRRM1",0
"PRKCB","SRRM2",0
"PRKCB","STK4",0
"PRKCB","STMN2",0
"PRKCB","SYP",0
"PRKCB","TBC1D4",0
"PRKCB","TERT",0
"PRKCB","TMPO",0
"PRKCB","TMPO",0
"PRKCB","TNNT2",0
"PRKCB","TNPO3",0
"PRKCB","TP53",0
"PRKCB","TRRAP",0
"PRKCB","UBE4B",0
"PRKCB","VASP",0
"PRKCB","VIM",0
"PRKCB","VPS72",0
"PRKCB","VRK1",0
"PRKCB","WIPF1",0
"PRKCB","WNK1",0
"PRKCB","XRCC4",0
"PRKCB","YWHAZ",0
"PRKCB","ZMYM2",0
"PRKCD","FAS",0
"PRKCD","MAPT",0
"PRKCD","PKD1",0
"PRKCD","PPP1R14A",0
"PRKCD","RPS6",0
"PRKCD","YWHAH",0
"PRKCE","MYBPC3",0
"PRKCE","PKD2",0
"PRKCG","CASR",0
"PRKCG","GRIA1",0
"PRKCG","IRS1",0
"PRKCH","ITGB2",0
"PRKCH","PKD1",0
"PRKCH","PKD1",0
"PRKCH","PKD2",0
"PRKCH","PKD2",0
"PRKCH","PRKCH",0
"PRKCH","PRKCH",0
"PRKCH","PRKD2",0
"PRKCH","SYP",0
"PRKCH","SYP",0
"PRKCI","ANXA1",0
"PRKCQ","ANXA4",0
"PRKCQ","CARHSP1",0
"PRKCQ","DLGAP4",0
"PRKCQ","ERAL1",0
"PRKCQ","PPP1R14C",0
"AKT1","PRKCZ",0
"PRKCZ","AKT1",-1
"PRKCZ","CLASP1",0
"PRKCZ","FAM13A",0
"PRKCZ","MET",-1
"PRKCZ","PRKAR2A",0
"PRKD1","EPAS1",0
"PRKDC","ABLIM1",0
"PRKDC","ACACA",0
"PRKDC","ACAP2",0
"PRKDC","ACTN1",0
"PRKDC","ADRB2",0
"PRKDC","ANAPC1",0
"PRKDC","ANAPC5",0
"PRKDC","ANLN",0
"PRKDC","AQP4",0
"PRKDC","ARFGEF1",0
"PRKDC","ARFGEF2",0
"PRKDC","ARVCF",0
"PRKDC","ATP2A2",0
"PRKDC","BCL2L11",0
"BRCA1","PRKDC",0
"PRKDC","BRCA1",0
"PRKDC","BSN",0
"PRKDC","CACNA1S",0
"PRKDC","CACNB2",0
"PRKDC","CANX",0
"PRKDC","CDC16",0
"PRKDC","CDC25A",0
"PRKDC","CDS1",0
"PRKDC","CFTR",0
"PRKDC","CGN",0
"PRKDC","CHEK1",0
"PRKDC","CIITA",0
"PRKDC","CLASP1",0
"PRKDC","CNN1",0
"PRKDC","COPA",0
"PRKDC","CSNK1E",0
"PRKDC","CTDP1",0
"PRKDC","DAGLA",0
"PRKDC","DCX",0
"PRKDC","DLG4",0
"PRKDC","DLGAP1",0
"PRKDC","E2F1",0
"PRKDC","EFTUD2",0
"PRKDC","EIF3C",0
"PRKDC","EIF4B",0
"PRKDC","EIF4EBP1",0
"PRKDC","EIF4G1",0
"PRKDC","ENAH",0
"PRKDC","EPN2",0
"PRKDC","ERBIN",0
"PRKDC","ETV1",0
"PRKDC","F9",0
"PRKDC","FANCD2",0
"PRKDC","FNBP1",0
"PRKDC","FPR1",0
"PRKDC","GABRB1",0
"PRKDC","GABRB2",0
"PRKDC","GAP43",0
"PRKDC","GFAP",0
"PRKDC","GNAZ",0
"PRKDC","GTF3C1",0
"PRKDC","GYS1",0
"PRKDC","HMGA1",0
"PRKDC","IDH3A",0
"PRKDC","IKBKB",0
"PRKDC","IL16",0
"PRKDC","INA",0
"PRKDC","IRS1",0
"PRKDC","IRS2",0
"PRKDC","ITGA2B",0
"PRKDC","ITPR1",0
"PRKDC","KCTD12",0
"PRKDC","KHDRBS1",0
"PRKDC","KLF1",0
"PRKDC","LASP1",0
"PRKDC","LAT",0
"PRKDC","LIPE",0
